Sample Name,Sample Type,HELPER,BATCH,Betaine,Choline,Cystamine,Cysteamine,Cytidine,Glycine,Methionine,Phe-d8,Phenylalanine,Serine,Threonine,TMAOd9,TMNO,Valine,Valine-d8,AccoA.M0-0(PO3),AcAccoA.M0-0(PO3),Phe-d8(NEG),Pump A press,Pump B press,Oven Temp,Cooler Temp,Room Temp,Run Order,Sample Number,Tray
Blank,BLK,,,66192335.99,13641.40981,,5310.119748,1563.05537,3349.847637,,35477620.57,14469.16858,14943348.29,191679.79,228338852.2,1114737.971,310290.312,62041633.47,263.6587076,659.4263104,6493087.237,412457.7904,735546.3226,,,,,,
BLKBLK2106,BLK,2106.0,,68011738.97,15256.04552,2363.222062,30061.15395,8108.442979,4819.82353,3516.939245,31466765.42,78637.09886,6399525.495,34901.91506,181701036.7,3000457.958,259014.2578,11751820.92,,,3841569.29,399102.5866,718375.5486,,,,,,
BLKBLKBLK102,BLK,102.0,,62875730.15,13213.40492,,30925.88265,6182.216523,7172.280195,,25885118.92,44886.66919,5967145.144,21705.73659,180263500.1,2989416.197,256374.4878,10586612.62,,,3660011.108,400728.2668,719461.6355,,,,406.0,BLKBLKBLK102,4.0
pblk43,BLK,43.0,,56492389.13,5967.298582,5681.671499,38612.14678,21761.2796,20035.22414,7321.255531,29385162.26,255135.2526,1573120.361,81576.20375,161896291.5,2575728.456,117925.876,12901363.24,,,2664138.789,419488.6287,755443.4453,,,,1714.0,pblk43,17.0
pblk44,BLK,44.0,,58160309.26,4283.067276,2488.486438,24951.9339,3894.022997,3096.386356,2543.815869,30538408.94,305965.8435,1838505.839,27676.52665,157280689.6,2416498.778,51971.75717,12330434.33,,,3073219.325,421216.8155,754071.1625,,,,1715.0,pblk44,17.0
pblk45,BLK,45.0,,57070395.76,15262.84484,4454.022326,15033.38911,,7105.162492,6803.762127,25678027.99,108939.0375,1278755.185,78223.52736,144567179.7,2372595.917,102507.7105,11172625.83,,,1934245.988,372376.314,671759.0559,,,,1815.0,pblk45,18.0
pblk46,BLK,46.0,,48232053.87,,9486.334236,18735.28385,7442.399033,2453.866529,1862.771046,26521687.3,43752.43586,1463903.548,,135942156.6,1537629.268,49170.32293,11848291.64,,,2253596.487,372803.0446,673809.2973,,,,1816.0,pblk46,18.0
pblk47,BLK,47.0,,70047034.76,8580.810397,12281.20667,64617.72314,14181.38215,11151.01342,5137.739247,31082847.68,100151.9957,1606028.59,100766.8623,157804500.5,2427131.283,93018.91035,13955112.07,,,2178444.803,376255.3251,677828.7503,,,,1854.0,pblk47,19.0
pblk48,BLK,48.0,,59795328.71,13861.83499,,25138.02406,11752.95947,3343.174655,4427.165959,33466836.74,86246.92698,1670785.155,27724.33085,160446082.0,1955526.772,62054.1887,13347512.82,,,2623707.121,378751.3765,684676.1974,,,,1855.0,pblk48,19.0
PRO-BLK1,BLK,1.0,,48950046.49,2270.154111,,3561.868615,4050.935176,,4056.653053,14827618.0,77548.4753,2125032.855,41949.71515,88771818.78,1973147.884,47851.12294,5718831.23,,,2652419.148,399690.1641,723939.4646,,,,,,
PRO-BLK2,BLK,2.0,,46760446.55,6313.701445,,2709.428643,,,,14255997.8,26607.87554,1859309.202,17344.71829,99624112.29,1393657.768,46502.40637,4897103.049,,,3041185.456,400190.3708,724417.1016,,,,,,
PRO-BLK3,BLK,3.0,,47308364.06,9415.188464,,3613.263475,1962.580526,2481.284235,,13763559.61,69835.18987,1511048.401,30066.43559,97329260.81,2619242.29,56647.49824,6775661.957,,,2812336.88,397361.8144,718292.6004,,,,,,
pro-blk6,BLK,6.0,,47454715.07,,2213.649816,3474.155893,3331.122725,,,11181918.27,,826473.4124,7117.50098,92365788.3,1839037.172,36783.4385,4607548.022,,,2828351.121,395268.236,717678.3274,,,,,,
pro-blkblk10,BLK,10.0,,379643693.0,3822321.101,867043.2229,10688.1229,43944.53401,116636.631,1946481.425,24927809.26,79282437.72,373685.911,2884205.868,108625316.6,20694888.46,9867675.653,2673373.862,21251.59834,92121.12116,2957598.179,399944.24,716988.0307,,,,398.0,pro-blkblk10,4.0
PRO-BLKBLK77,BLK,77.0,,61863816.33,8834.458213,,27252.67907,2772.283035,2155.078471,,28505977.97,108818.2369,4488087.215,32232.57609,183980331.6,3413678.245,228099.4263,11170765.19,,,3666779.401,399916.9921,721031.037,,,,405.0,PRO-BLKBLK77,4.0
pro-blkblk8,BLK,8.0,,61930381.85,9615.228687,6426.327602,22648.46292,19216.46086,7928.109838,,25900814.42,51103.67264,5892641.046,127662.7928,170211889.7,2245611.33,291189.1243,10233161.48,,539.8061881,4176653.007,400609.5992,717680.8608,,,,308.0,pro-blkblk8,4.0
pro-blkblk9,BLK,9.0,,399465190.6,3847228.48,895341.9283,19323.70252,49441.4105,111072.1778,2242855.353,23899547.21,74774444.85,421849.4509,3569488.257,109726819.1,20960959.67,10436116.2,2582267.644,22438.62089,86056.79543,2765155.821,399003.0713,717335.5716,,,,397.0,pro-blkblk9,4.0
PROBLK10,BLK,10.0,,46902973.04,6254.149923,,8699.544291,5949.297909,2803.86722,,16092016.2,37392.35748,1526885.321,30224.96141,78673873.66,1216534.02,123120.8594,5929602.764,,,2184557.177,402492.1672,725579.3513,,,,505.0,PROBLK10,5.0
problk102,BLK,102.0,,42040723.79,,,25890.57693,5919.549435,5315.302839,1869.217985,30469610.63,61966.87622,2521913.633,91305.66312,181971104.7,2106608.691,400333.5138,16774715.41,,,2257709.645,412731.5612,737386.8897,,,,,,
problk103,BLK,103.0,,43229984.61,10460.79614,,31046.43736,8539.081617,8647.32786,1039.385999,23774246.86,45511.96023,2213538.771,52213.71751,147542491.0,2136026.879,347303.2251,12824830.86,,,1743158.945,412791.3945,736961.5757,,,,,,
PROBLK11,BLK,11.0,,50057048.18,11870.96314,,11388.80818,4336.930667,7227.872277,2935.567278,22284057.58,149290.9989,9204862.166,45859.73454,115675546.6,1532941.226,248208.7754,8358832.425,,,2081600.776,404478.3459,729455.6325,,,,605.0,PROBLK11,6.0
PROBLK12,BLK,12.0,,43103548.31,,14183.4649,10144.62557,7938.765041,5658.042397,1869.051023,23625458.14,46893.71813,2972859.664,55263.54489,106887741.0,1690580.077,137513.2111,7538217.471,,,2381162.09,412007.4164,728566.7716,,,,,,
PROBLK14,BLK,14.0,,83301141.83,2519.991222,,18729.22035,6740.910675,3539.344422,3450.669505,30459086.22,206893.0775,8695382.635,91894.70607,185106962.3,5181494.907,84642.29338,13420687.77,,,3163792.878,411188.2384,733303.2843,,,,704.0,PROBLK14,7.0
PROBLK15,BLK,15.0,,84941965.06,,12529.7374,22193.1022,12279.908,6044.508059,,31835850.18,125479.6036,27752146.41,96454.19708,185485884.6,5247291.379,312374.7419,12147363.87,,,3456182.145,409933.216,731962.2198,,,,705.0,PROBLK15,7.0
PROBLK16,BLK,16.0,,78111419.03,6744.201046,15300.75184,16927.29269,,8973.37936,1562.416716,34109943.54,32556.31425,5576399.915,32166.01538,197413767.1,3299019.577,309581.7713,14497693.8,,,3837622.083,410001.6879,732553.9282,,,,804.0,PROBLK16,8.0
PROBLK17,BLK,17.0,,44397210.88,8221.761749,,19564.3103,9671.573135,3115.228438,842.4348901,24969358.94,36877.82894,3775275.478,48465.2921,138551849.7,1850824.753,265248.9703,9803956.636,,,3448688.855,409592.4938,733155.0039,,,,805.0,PROBLK17,8.0
PROBLK18,BLK,18.0,,42219302.21,,,18871.79854,2744.358452,7458.524645,,22796073.29,17095.85764,3044302.775,51406.87573,123427037.1,2191558.585,218162.2459,9452696.251,,,3135819.745,411926.2248,730895.7703,,,,,,
PROBLK19,BLK,19.0,,33011132.93,3282.929378,,15466.01153,,,,11038875.75,42524.19062,1305791.146,37444.99647,64236547.01,1004009.246,194377.7348,5257672.296,,,1787256.714,409408.4624,729394.2508,,,,904.0,PROBLK19,9.0
PROBLK20,BLK,20.0,,27501592.3,,,17084.75229,4324.289233,,3816.534971,13360903.52,27388.73132,1553043.748,17656.24957,56873772.54,1107925.735,183117.4964,5587716.193,,,2006325.26,410107.9055,733144.5159,,,,905.0,PROBLK20,9.0
PROBLK21,BLK,21.0,,24949745.82,,,17396.39484,2952.129594,4129.028409,,12990503.5,16986.32268,1639171.251,15413.92246,56741112.33,946229.9102,178628.2598,5441904.371,,,1979421.823,410274.873,734504.6283,,,,906.0,PROBLK21,9.0
PROBLK22,BLK,22.0,,26217533.29,4767.884867,,,1391.666814,2367.341567,,17409466.34,93119.81855,2067956.822,7442.437071,80781120.07,13256.03581,210824.4729,7240564.039,,,2044062.942,361312.7081,643167.5351,,,,1007.0,PROBLK22,10.0
PROBLK23,BLK,23.0,,25884696.63,5030.406454,,,1426.645953,,,23258549.03,49031.67161,2559564.205,2757.154973,84313889.99,15561.86315,,8260236.068,,,2575974.143,364810.2498,,,,,1008.0,PROBLK23,10.0
PROBLK24,BLK,24.0,,27196089.42,,2587.634585,,,,,22186444.02,71479.21347,2861347.588,10582.14057,86461935.6,1070043.918,210946.0761,7795574.624,,,2664358.498,377433.3844,,,,,1009.0,PROBLK24,10.0
PROBLK25,BLK,25.0,,36301311.92,6238.23814,,29971.42055,1263.703787,3350.506405,,20577067.05,136396.213,1221285.94,93192.7441,114249829.7,2096126.664,207825.3442,10985641.19,,,1767979.156,464078.0566,821588.7389,,,,1108.0,PROBLK25,11.0
PROBLK26,BLK,26.0,,29165691.31,8653.897899,3583.246695,19851.8967,4481.650129,2260.306743,,18627432.63,58453.25269,902692.055,50515.89721,92176077.67,1315318.1,175973.9828,9094079.952,,,1621437.564,464008.879,824138.7063,,,,1109.0,PROBLK26,11.0
PROBLK27,BLK,27.0,,38304531.84,14172.41746,4340.888932,23182.75037,,3084.535438,685.0855264,17459511.35,49290.75569,1356220.751,40663.9773,127707266.1,1838846.747,205550.4702,10339364.05,,,1607170.804,464411.1058,825357.5705,,,,1110.0,PROBLK27,11.0
PROBLK28,BLK,28.0,,39681441.96,10853.46096,,40063.65574,,5809.937012,3557.915355,28485490.43,133089.0121,1759288.614,53239.40526,161124488.9,1752700.944,181737.4212,13951508.43,,,2169417.79,470883.0972,828307.6181,,,,1209.0,PROBLK28,12.0
PROBLK29,BLK,29.0,,37219250.31,9909.140645,15654.23343,32618.96402,8897.087715,3887.442811,2427.56666,24896673.42,59983.36222,1813212.402,39417.69965,132122622.9,3737031.205,46018.381,12723578.13,,,2213157.849,470345.8816,825767.648,,,,1210.0,PROBLK29,12.0
PROBLK30,BLK,30.0,,37261565.61,11871.65087,,33476.76372,7433.688836,6143.965386,1557.509436,32059647.3,95942.87971,1984065.831,74988.24406,158090382.1,2533938.209,165220.462,15134874.57,,,2810400.55,469744.5863,826524.7089,,,,1211.0,PROBLK30,12.0
PROBLK31,BLK,31.0,,54339983.61,,,21297.78107,5436.140352,20352.2274,2468.460666,21333969.4,68338.87331,1796039.796,55354.36716,141554606.0,2199359.175,194268.9799,11432585.38,,,1585987.731,474942.7883,844290.7018,,,,1310.0,PROBLK31,13.0
PROBLK32,BLK,32.0,,46183867.74,1731.448829,,32858.36627,11790.40483,5645.999078,,22013382.59,49504.27973,2025330.104,52121.07361,131665854.4,1242839.307,140601.7779,13405673.75,,,1931086.597,473032.9856,826033.863,,,,1311.0,PROBLK32,13.0
PROBLK33,BLK,33.0,,48137819.53,10652.24853,,30936.53548,5751.173936,5587.542525,,22738277.57,30484.5959,1826172.926,28869.18579,147917694.5,1996910.127,101237.4268,12878425.39,,,2049609.419,458065.0377,813025.4636,,,,1312.0,PROBLK33,13.0
problk39,BLK,39.0,,59668486.61,7077.034975,,34673.25507,2594.642769,10270.84465,,28754433.93,33375.79717,2439486.259,78170.60598,194510680.6,2980797.333,55016.79079,17581885.55,,,2672254.183,454764.954,811185.7246,,,,,,
PROBLK4,BLK,4.0,,43643082.28,5410.060339,,3406.796722,,,3220.715916,17013505.35,63738.1173,1164586.626,13821.34786,131001392.8,2213640.091,90141.16301,6987843.934,,,2253355.631,396938.8056,721051.1337,,,,191.0,PROBLK4,2.0
PROBLK40,BLK,40.0,,64569178.43,13645.40924,,34981.19974,1072.437189,35182.92671,12357.33015,35037373.52,222738.8601,1289695.81,89408.49685,178591482.0,2071809.503,95623.50788,12886948.36,,,3160267.139,415856.4963,742004.3361,,,,1613.0,PROBLK40,16.0
PROBLK41,BLK,41.0,,65672056.17,8303.928078,3230.885862,45456.95263,11281.44906,6129.616915,1132.419911,44055473.36,303734.8792,781985.379,22036.46074,194755416.9,2592166.589,108263.6672,24007068.21,,,4314636.327,415257.2382,745992.3255,,,,1614.0,PROBLK41,16.0
problk42,BLK,42.0,,80038662.34,13038.06353,,27709.7321,13043.02339,33781.45553,,29310470.13,64801.87483,2150688.874,36399.86744,197159284.2,2652208.207,76954.73857,13213690.56,,,2306248.339,460551.8898,822088.1488,,,,1514.0,problk42,15.0
PROBLK5,BLK,5.0,,40241071.27,9555.002217,,5275.376727,3947.659059,17972.59601,1792.514626,17298249.4,53054.57131,1789029.712,9289.326359,90216143.87,1167274.883,58985.56577,4299232.468,,,3026178.342,395142.96,716964.152,,,,198.0,PROBLK5,2.0
PROBLK7,BLK,7.0,,63888886.53,1648.641647,,15797.47874,,3178.355377,8280.802833,22513268.8,113612.9391,3079442.547,24030.70242,160508166.8,2732041.717,232886.1834,9312175.716,,,3998403.181,398531.1085,715530.5397,,,,303.0,PROBLK7,4.0
PROBLK8,BLK,8.0,,62731756.14,2368.787891,,20245.1979,7096.29004,5316.201148,2203.867889,23091671.6,52509.09041,3124814.92,27361.76571,158401420.8,2312172.74,250797.7922,9085970.514,,,3446764.269,399544.0267,717019.8629,,,,,,
PROBLK9,BLK,9.0,,47683447.72,5098.027489,1891.611256,9149.7086,2796.647716,4460.7763,,13365822.29,74569.68789,1789337.971,30341.81105,92364808.41,675019.4782,140797.7449,5480100.67,,,1928753.867,403187.7253,725055.3862,,,,504.0,PROBLK9,5.0
PROBLKBLK16,BLK,16.0,,24992442.19,10094.11146,5300.467061,5925.16134,2694.912112,4934.421921,,14202321.89,25433.91209,741623.6564,100875.3926,69489110.57,1113761.362,246336.1684,10820702.72,,,2398156.255,413917.8017,732435.5391,,,,,,
procBlk37,BLK,37.0,,56318944.32,,,25401.81793,3515.058885,7865.308149,6840.954774,29305203.53,148568.0261,2357041.003,24394.12367,173811747.8,2327452.573,103112.0454,15077394.77,,,1917739.408,452483.7998,806996.1323,,,,,,
procBlk38,BLK,38.0,,64922185.68,7203.463751,7607.506883,19518.23336,8678.398929,37744.01262,,26884607.04,61591.53366,2191720.126,50746.67026,167086618.3,2150479.131,85570.43488,14451236.16,,,2219085.845,453096.9027,807457.5565,,,,,,
procBlk40,BLK,40.0,,60621647.7,2692.257645,,26411.09856,4540.690671,4745.007278,6574.824045,33173304.99,163809.029,2326691.506,47258.75909,212802514.1,2461361.544,130546.8995,13720161.31,,,2125382.345,460625.6999,819566.211,,,,1512.0,procBlk40,15.0
procBlk41,BLK,41.0,,67237985.44,14551.89149,8278.389953,31718.82296,5257.656515,4265.921248,,34792800.79,66784.80153,2438549.111,33780.70581,207565531.3,2845958.764,94847.94072,14653925.39,,,2425058.354,461061.7474,824348.9476,,,,1513.0,procBlk41,15.0
QQC1,QQC,1.0,1.0,459504268.9,5180540.724,1514577.91,28030.95936,140429.6415,135834.72,3183475.665,28393005.93,98364621.25,266715.8189,3181929.202,153297541.1,25253681.37,16637297.43,3249970.242,74449.89168,256587.2588,5486425.127,416966.6967,748032.9742,,,,,,
QQC2,QQC,2.0,1.0,369832956.3,4018699.531,1343378.797,23184.74446,121706.2951,128327.5827,2974822.941,19136813.77,87770045.6,292268.684,2059317.229,139533141.1,23911244.67,14788031.2,2495070.725,55619.76513,180521.744,3842084.016,414688.6242,749121.7308,,,,,,
QC2,QC,2.0,1.0,304275497.1,3340481.063,672878.8276,8568.42454,54187.64518,62926.98187,2178424.334,14318353.11,61326757.5,105718.7824,1861358.592,98489731.61,13786890.91,6078569.302,2279612.568,44268.65527,146235.3124,2688545.575,435950.9114,779020.7492,,,,1.0,QC2,1.0
QC4,QC,4.0,1.0,245625232.3,5755603.844,583987.0201,8365.0284,59503.57774,71046.8761,1608603.844,18300196.62,37885847.64,,1805428.486,83485377.57,18133448.03,2524730.955,2777740.729,42915.83935,153206.1203,2617464.548,425987.937,768449.1782,,,,3.0,QC4,1.0
QC5,QC,5.0,1.0,280873530.1,2855273.31,710981.4926,8160.406619,67075.51264,77888.94978,1680215.502,12906020.14,43319425.69,231678.0793,2725995.298,106224277.8,14287887.3,4245495.394,1646139.573,45681.22279,143790.807,2458059.358,422563.0905,766802.1317,,,,4.0,QC5,1.0
QC6,QC,6.0,1.0,316494023.4,1841533.375,782528.4766,9370.128408,176917.7098,103132.266,2754946.97,17203818.17,58431787.73,,1413921.102,80550184.33,25618843.17,10254354.28,1548711.199,47016.21638,142398.7907,2406089.413,407734.0061,741863.132,,,,5.0,QC6,1.0
QC7,QC,7.0,1.0,310524320.9,2221129.06,630569.462,9330.420868,92196.00753,129231.2497,3140123.716,15107445.66,90494663.95,81259.41351,1754073.374,111258078.4,8675426.286,3741031.306,2937246.84,47275.7092,133314.2805,2594183.23,408749.7313,741201.5091,,,,95.0,QC7,1.0
QC8,QC,8.0,1.0,221433615.0,3136707.91,589131.3443,6164.579531,48885.83816,118190.3588,1705639.871,13532527.32,56927218.37,133780.1403,1413157.603,52952593.99,23405582.21,6018853.969,2451820.361,38087.82274,100748.0545,2063554.132,401945.0397,726517.8292,,,,96.0,QC8,1.0
